Price,Dprice,P1Cash,P2Cash,P1Stock,P2Stock,P1Value,P2Value,P1Asset,P2Asset,P1Decision,P2Decision
100,0,10000,10000,10,10,1000,1000,11000,11000,B,S
100,0,9900,10100,11,9,1000,1000,11000,11000,S,B
100,0,10000,10000,10,10,1100,900,10900,11100,B,S
100,0,9900,10100,11,9,1000,1000,11100,10900,B,S
100,0,9800,10200,12,8,1100,900,10900,11100,N,B
103,3,9800,10100,12,9,1200,800,10900,11100,S,S
97.85,-5.15,9903,10203,11,8,1236,927,11000,10900,N,B
100.7855,2.9354999999999998,9903,10105.15,11,9,1076.35,782.8,11139,11130,S,B
100.7855,0,10003.7855,10004.3645,10,10,1108.6405,907.0695,10979.35,10887.949999999999,B,B
105.824775,5.039275,9903,9903.579,11,11,1007.855,1007.855,11112.426,10911.434,S,S
100.53353625,-5.291238750000001,10008.824775,10009.403774999999,10,10,1164.072525,1164.072525,10910.855,10911.434,S,B
100.53353625,0,10109.358311249998,9908.870238749998,9,11,1005.3353625,1005.3353625,11172.897299999999,11173.476299999998,N,S
97.5175301625,-3.0160060874999997,10109.358311249998,10009.403774999999,9,10,904.80182625,1105.86889875,11114.693673749998,10914.205601249998,S,B
97.5175301625,0,10206.875841412499,9911.886244837498,8,11,877.6577714624999,975.175301625,11014.1601375,11115.272673749998,S,N
94.59200425762499,-2.9255259048749997,10304.393371574999,9911.886244837498,7,11,780.1402413,1072.6928317875,11084.533612874999,10887.061546462499,N,B
97.42976438535374,2.8377601277287496,10304.393371574999,9817.294240579873,7,12,662.1440298033749,1040.5120468338748,11084.533612874999,10984.579076625,S,S
92.55827616608605,-4.871488219267687,10401.823135960352,9914.724004965226,6,11,682.0083506974761,1169.1571726242448,10966.537401378373,10857.806287413749,S,B
92.55827616608605,0,10494.381412126439,9822.16572879914,5,12,555.3496569965163,1018.1410378269466,11083.83148665783,11083.881177589472,S,B
92.55827616608605,0,10586.939688292525,9729.607452633054,4,13,462.7913808304302,1110.6993139930325,11049.731069122954,10840.306766626087,S,B
92.55827616608605,0,10679.497964458611,9637.049176466968,3,14,370.2331046643442,1203.2575901591185,11049.731069122956,10840.306766626087,S,N
89.78152788110347,-2.776748284982581,10772.056240624697,9637.049176466968,2,14,277.67482849825814,1295.8158663252048,11049.731069122956,10840.306766626087,N,B
95.16841955396968,5.386891672866208,10772.056240624697,9547.267648585865,2,15,179.56305576220694,1256.9413903354487,11049.731069122956,10932.865042792173,N,S
92.31336696735059,-2.8550525866190903,10772.056240624697,9642.436068139834,2,14,190.33683910793937,1427.5262933095453,10951.619296386903,10804.209038921314,B,B
101.54470366408565,9.23133669673506,10679.742873657347,9550.122701172484,3,15,184.62673393470118,1292.3871375429082,10962.393079732637,11069.96236144938,N,S
98.49836255416308,-3.0463411099225692,10679.742873657347,9651.66740483657,3,14,304.6341109922569,1523.1705549612848,10864.369607592049,10842.509838715392,B,B
108.34819880957939,9.849836255416308,10581.244511103185,9553.169042282407,4,15,295.49508766248925,1378.977075758283,10984.376984649605,11174.837959797855,N,S
105.097752845292,-3.2504459642873815,10581.244511103185,9661.517241091986,4,14,433.39279523831755,1625.2229821436908,10876.739598765675,10932.14611804069,B,N
111.40361801600953,6.30586517071752,10476.146758257893,9661.517241091986,5,14,420.391011381168,1471.368539834088,11014.637306341503,11286.740223235676,S,S
105.83343711520905,-5.570180900800477,10587.550376273903,9772.920859107995,4,13,557.0180900800476,1559.6506522241334,10896.53776963906,11132.885780926073,B,N
112.18344334212159,6.350006226912543,10481.716939158694,9772.920859107995,5,13,423.3337484608362,1375.8346824977177,11144.56846635395,11332.571511332128,S,S
106.57427117501551,-5.60917216710608,10593.900382500815,9885.104302450116,4,12,560.9172167106079,1458.3847634475808,10905.05068761953,11148.755541605713,B,S
106.57427117501551,0,10487.3261113258,9991.678573625131,5,11,426.29708470006204,1278.8912541001862,11154.817599211423,11343.489065897696,B,N
112.96872744551644,6.39445627050093,10380.751840150784,9991.678573625131,6,11,532.8713558750776,1172.3169829251706,10913.623196025861,11270.569827725318,S,S
107.32029107324061,-5.648436372275822,10493.720567596301,10104.647301070649,5,10,677.8123646730986,1242.6560019006808,10913.623196025861,11163.995556550302,B,B
118.05232018056468,10.732029107324061,10386.400276523062,9997.327009997409,6,11,536.601455366203,1073.202910732406,11171.5329322694,11347.30330297133,S,S
112.14970417153644,-5.902616009028234,10504.452596703626,10115.379330177973,5,10,708.3139210833881,1298.5755219862115,10923.001731889264,11070.529920729816,S,N
108.78521304639035,-3.364491125146093,10616.602300875162,10115.379330177973,4,10,560.7485208576823,1121.4970417153645,11212.766517787015,11413.954852164185,B,B
119.66373435102939,10.878521304639037,10507.817087828771,10006.594117131583,5,11,435.1408521855614,1087.8521304639034,11177.350821732844,11236.876371893337,S,S
113.68054763347791,-5.98318671755147,10627.480822179801,10126.257851482613,4,10,598.318671755147,1316.3010778613234,10942.957940014332,11094.446247595486,B,N
120.50138049148659,6.820832858008675,10513.800274546324,10126.257851482613,5,10,454.72219053391166,1136.805476334779,11225.799493934948,11442.558929343937,S,S
114.47631146691225,-6.0250690245743295,10634.30165503781,10246.7592319741,4,9,602.506902457433,1205.013804914866,10968.522465080236,11263.063327817392,N,S
111.04202212290488,-3.434289344007367,10634.30165503781,10361.235543441013,4,8,457.905245867649,1030.2868032022102,11236.808557495244,11451.773036888966,B,B
122.14622433519537,11.104202212290488,10523.259632914906,10250.193521318108,5,9,444.1680884916195,888.336176983239,11092.20690090546,11391.522346643223,S,N
