Price,Dprice,P1Cash,P2Cash,P1Stock,P2Stock,P1Value,P2Value,P1Asset,P2Asset,P1Decision,P2Decision
100,0,10000,10000,10,10,1000,1000,11000,11000,S,S
95,-5,10100,10100,9,9,1000,1000,11000,11000,N,B
97.85,2.85,10100,10005,9,10,855,855,11100,11100,B,S
97.85,0,10002.15,10102.85,10,9,880.65,978.5,10955,10860,N,S
94.91449999999999,-2.9354999999999998,10002.15,10200.7,10,8,978.5,880.65,10882.8,11081.35,S,N
92.06706499999999,-2.8474349999999995,10097.0645,10200.7,9,8,949.1449999999999,759.3159999999999,10980.65,11081.35,S,N
89.30505304999998,-2.7620119499999993,10189.131565,10200.7,8,8,828.6035849999998,736.5365199999999,11046.2095,10960.016000000001,S,S
84.83980039749999,-4.465252652499999,10278.43661805,10290.005053050001,7,7,714.4404243999999,714.4404243999999,11017.73515,10937.23652,S,B
84.83980039749999,0,10363.2764184475,10205.165252652501,6,8,593.8786027824999,593.8786027824999,10992.87704245,11004.445477450001,B,N
87.38499440942499,2.5451940119249996,10278.43661805,10205.165252652501,7,8,509.03880238499994,678.7184031799999,10957.155021229999,10799.043855435,B,N
90.00654424170774,2.6215498322827497,10191.051623640575,10205.165252652501,8,8,611.694960865975,699.0799552753999,10787.475420435,10883.883655832502,B,B
94.50687145379312,4.500327212085387,10101.045079398868,10115.158708410794,9,9,720.052353933662,720.052353933662,10802.746584506549,10904.245207927901,B,S
94.50687145379312,0,10006.538207945074,10209.665579864588,10,8,850.5618430841381,850.5618430841381,10821.09743333253,10835.211062344457,N,S
91.67166531017934,-2.8352061436137936,10006.538207945074,10304.172451318382,10,7,945.0687145379312,756.054971630345,10857.100051029212,11060.227422948727,B,B
96.2552485756883,4.583583265508967,9914.866542634894,10212.500786008202,11,8,916.7166531017933,641.7016571712553,10951.606922483004,11060.227422948727,B,S
96.2552485756883,0,9818.611294059207,10308.75603458389,12,7,1058.8077343325713,770.0419886055064,10831.583195736688,10854.202443179458,S,B
96.2552485756883,0,9914.866542634894,10212.500786008202,11,8,1155.0629829082595,673.7867400298181,10877.419028391778,11078.798023189396,N,N
96.2552485756883,0,9914.866542634894,10212.500786008202,11,8,1058.8077343325713,770.0419886055064,11069.929525543153,10886.28752603802,B,N
99.14290603295895,2.887657457270649,9818.611294059207,10212.500786008202,12,8,1058.8077343325713,770.0419886055064,10973.674276967466,10982.542774613708,B,N
102.11719321394771,2.9742871809887683,9719.468388026247,10212.500786008202,13,8,1189.7148723955074,793.1432482636716,10877.419028391778,10982.542774613708,B,N
105.18070901036614,3.0635157964184314,9617.3511948123,10212.500786008202,14,8,1327.5235117813204,816.9375457115817,10909.183260421754,11005.644034271874,B,S
105.18070901036614,0,9512.170485801933,10317.681495018569,15,7,1472.529926145126,841.4456720829291,10944.87470659362,11029.438331719784,B,B
115.69877991140277,10.518070901036616,9406.989776791566,10212.500786008202,16,8,1577.7106351554921,736.264963072563,10984.700411947058,11159.127167101498,N,S
112.22781651406068,-3.470963397342083,9406.989776791566,10328.199565919605,16,7,1851.1804785824443,925.5902392912221,10984.700411947058,10948.765749080765,S,B
112.22781651406068,0,9519.217593305628,10215.971749405544,15,8,1795.6450642249708,785.5947155984247,11258.17025537401,11253.789805210828,B,B
123.45059816546674,11.222781651406068,9406.989776791566,10103.743932891482,16,9,1683.4172477109103,897.8225321124854,11314.862657530599,11001.566465003969,S,S
117.27806825719341,-6.172529908273337,9530.440374957034,10227.19453105695,15,8,1975.209570647468,1111.0553834892007,11090.407024502476,11001.566465003967,N,B
124.31475235262502,7.036684095431604,9530.440374957034,10109.916462799756,15,9,1759.1710238579012,938.2245460575473,11505.649945604502,11338.249914546152,B,N
131.77363749378253,7.458885141157501,9406.125622604408,10109.916462799756,16,9,1864.7212852893754,1118.8327711736251,11289.611398814935,11048.141008857303,B,S
131.77363749378253,0,9274.351985110625,10241.69010029354,17,8,2108.3781999005205,1185.962737444043,11270.846907893783,11228.749233973382,B,B
144.9510012431608,13.177363749378253,9142.578347616842,10109.916462799756,18,9,2240.151837394303,1054.1890999502602,11382.730185011145,11427.652837737582,B,S
144.9510012431608,0,8997.627346373682,10254.867464042916,19,8,2609.1180223768943,1304.5590111884471,11382.730185011145,11164.105562750017,S,B
144.9510012431608,0,9142.578347616842,10109.916462799756,18,9,2754.069023620055,1159.6080099452863,11606.745368750577,11559.426475231363,S,B
144.9510012431608,0,9287.529348860002,9964.965461556596,17,10,2609.1180223768943,1304.5590111884471,11896.647371236897,11269.524472745043,S,B
144.9510012431608,0,9432.480350103162,9820.014460313436,16,11,2464.167021133733,1449.510012431608,11896.647371236897,11269.524472745043,N,B
153.64806131775043,8.697060074589647,9432.480350103162,9675.063459070276,16,12,2319.2160198905726,1594.4610136747688,11896.647371236895,11269.524472745044,B,S
153.64806131775043,0,9278.832288785412,9828.711520388026,17,11,2458.368981084007,1843.7767358130052,11751.696369993735,11269.524472745044,S,B
153.64806131775043,0,9432.480350103162,9675.063459070276,16,12,2612.0170424017574,1690.1286744952547,11737.20126986942,11672.488256201032,B,B
169.0128674495255,15.364806131775044,9278.832288785412,9521.415397752526,17,13,2458.368981084007,1843.7767358130052,12044.49739250492,11365.19213356553,B,S
169.0128674495255,0,9109.819421335886,9690.428265202052,18,12,2873.218746641933,2197.167276843831,11737.20126986942,11365.192133565532,S,N
163.94248142603973,-5.0703860234857645,9278.832288785412,9690.428265202052,17,12,3042.2316140914586,2028.1544093943057,11983.038167977818,11887.595542045883,S,B
